1	race	age	engnat	gender	hand	source	country	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
13444	3	27	2	2	1	1	GB	1	4	2	5	2	3	1	5	1	5	3	4	4	2	2	1	2	3	1	5	4	5	1	5	1	5	1	4	4	5	2	3	4	5	1	3	1	5	1	5	3	2	4	2	4	2	3	2	3	3
13445	5	26	2	1	2	1	IT	2	1	2	5	5	1	3	4	5	2	4	5	5	2	4	4	2	2	4	2	3	4	4	4	1	5	4	2	5	4	1	1	1	4	1	4	3	4	3	1	3	1	5	1	4	1	4	5	5	5
13446	3	46	2	2	1	1	IT	3	4	3	2	4	2	4	2	3	2	4	2	5	3	4	3	3	2	2	2	2	4	2	5	2	4	2	4	3	4	2	1	4	2	2	3	4	2	2	3	5	2	5	2	3	1	4	4	4	3
13447	3	24	2	2	1	1	RO	2	3	3	4	3	1	1	5	2	3	5	1	5	1	3	5	5	4	5	5	1	5	1	5	1	5	2	5	4	5	5	2	5	2	1	1	3	3	5	4	4	2	5	2	4	1	4	3	5	4
13448	3	22	2	1	1	1	ES	2	1	2	4	5	1	1	3	3	3	3	3	5	2	2	2	3	2	2	3	2	2	2	4	3	4	3	4	4	2	3	1	4	2	3	3	2	2	4	3	4	3	5	2	4	1	4	4	4	4
13449	3	42	2	1	1	1	IT	2	2	4	4	4	2	3	3	4	4	4	2	4	2	4	4	4	4	4	2	3	4	4	3	2	3	2	2	3	3	2	5	3	4	3	5	4	4	2	3	5	1	4	1	3	2	4	4	5	3
13450	4	27	2	2	1	1	DE	4	4	4	2	5	3	5	1	4	4	2	5	3	1	4	4	4	5	4	4	1	5	4	4	1	5	1	3	4	3	3	5	5	5	2	5	1	4	2	4	2	1	5	2	3	1	4	4	5	4
13451	1	26	2	1	2	1	DE	2	5	4	3	3	4	2	3	4	1	2	4	3	4	2	3	3	2	3	1	4	3	1	2	4	3	4	2	2	3	3	3	5	3	1	3	2	2	1	3	3	1	3	1	5	2	5	2	4	5
13452	3	17	2	1	2	1	IT	3	3	1	3	3	4	2	4	3	5	3	3	4	3	3	4	4	4	4	3	3	2	2	4	3	4	2	4	3	3	3	1	4	2	2	2	4	3	3	3	3	3	4	3	3	3	4	2	5	5
13453	3	23	1	2	1	1	GB	4	2	3	3	4	2	5	3	4	3	2	4	3	4	3	3	3	2	3	4	2	5	1	5	2	4	1	4	5	5	4	4	3	3	2	2	4	2	4	4	3	2	4	2	4	2	4	2	4	4
13454	13	37	2	2	1	1	PK	3	4	1	4	1	5	1	5	1	5	3	4	5	3	4	2	4	4	2	2	2	1	1	5	4	5	5	2	5	5	1	5	4	1	1	5	2	2	2	5	5	2	5	2	2	1	5	2	5	2
13455	12	21	2	1	1	1	EG	1	3	1	5	1	5	1	5	1	5	4	1	5	5	5	5	5	5	5	5	5	5	1	5	3	4	4	5	1	1	4	1	5	5	1	1	5	5	1	1	1	2	5	5	1	3	4	1	5	5
13456	3	42	1	1	1	1	GB	2	2	2	2	5	1	2	1	5	5	5	3	5	1	5	4	3	3	5	3	1	4	5	5	3	5	2	5	5	5	2	5	1	5	1	5	5	5	1	1	5	1	3	3	5	2	5	5	3	5
13457	3	27	2	2	1	1	PT	1	2	4	3	3	1	3	4	3	2	4	5	5	4	3	3	1	1	1	1	1	3	1	4	4	5	1	3	3	4	4	5	3	3	5	5	5	3	4	3	4	4	4	1	5	1	1	3	4	5
13458	3	13	1	1	1	5	US	3	2	5	1	5	1	2	2	5	3	1	5	4	4	3	2	5	4	3	1	4	4	3	3	4	2	1	3	3	2	1	3	4	4	1	4	3	4	1	2	4	1	3	1	3	1	4	4	1	4
13459	11	24	2	2	1	2	US	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13460	3	21	1	1	1	1	ID	1	3	2	3	3	3	3	5	1	5	3	3	4	5	3	1	3	3	1	5	1	4	3	4	3	5	4	5	4	3	3	1	3	3	5	1	4	2	1	3	5	3	3	3	3	3	5	5	5	3
13461	13	18	2	2	2	1	CA	2	3	2	3	1	1	1	2	3	5	4	1	5	4	4	3	5	4	2	5	1	4	1	4	2	5	4	3	4	4	4	4	4	2	1	3	3	3	4	4	3	2	5	3	5	1	4	4	5	5
13462	5	21	2	1	1	1	JO	1	5	3	5	1	1	1	4	2	4	2	3	5	2	2	2	4	4	2	5	3	1	1	4	3	4	2	4	4	4	3	1	4	2	4	4	4	2	3	5	2	3	5	2	5	1	4	4	5	5
13463	3	27	1	2	2	1	GB	5	1	4	1	5	1	4	4	5	1	3	2	4	1	3	4	2	2	4	2	1	4	3	4	2	5	2	4	4	5	3	4	3	2	1	1	5	3	2	1	4	1	4	3	4	1	4	3	3	4
13464	3	18	2	1	2	1	PT	2	3	5	3	4	1	1	5	4	5	5	3	5	3	5	4	5	3	4	3	1	5	3	5	1	5	1	5	5	3	3	1	3	4	1	4	5	3	1	3	2	1	5	1	3	1	4	1	5	5
13465	3	18	2	1	1	1	PT	3	3	3	3	3	1	2	5	3	4	3	4	3	3	2	2	4	4	2	2	3	3	2	3	4	2	3	2	3	3	2	2	5	1	3	2	1	4	2	1	4	5	5	4	4	1	4	4	5	4
13466	5	24	2	1	1	1	NL	4	4	1	2	1	1	1	2	2	5	5	2	2	3	5	5	5	5	4	5	2	1	4	4	4	5	5	3	5	3	4	2	1	1	3	4	4	2	4	3	2	5	5	5	4	1	5	5	4	5
13467	3	23	2	2	3	1	CZ	4	1	4	3	5	3	2	2	3	2	4	4	3	2	3	4	5	5	3	4	2	5	3	5	1	4	1	1	5	2	4	2	3	4	4	1	3	1	4	4	4	1	4	1	4	1	5	4	3	4
