1	race	age	engnat	gender	hand	source	country	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
1390	3	58	1	1	3	1	US	3	2	3	3	4	2	3	2	4	2	2	4	2	5	4	3	5	4	3	1	4	4	3	2	4	4	4	2	2	4	3	2	2	5	2	4	2	4	2	3	4	2	4	2	4	2	5	4	4	4
1391	3	66	1	2	1	1	GB	2	3	3	3	4	2	3	4	2	4	3	3	3	2	3	4	3	2	3	2	2	4	2	4	1	3	2	3	4	3	4	2	4	2	2	2	4	2	3	4	5	2	3	1	5	2	3	4	4	3
1392	3	18	1	2	1	2	US	2	4	3	5	1	2	1	4	1	5	5	3	5	3	2	4	4	4	4	3	1	5	1	5	1	4	3	4	5	3	5	2	4	1	3	1	5	3	4	3	4	3	4	3	4	3	4	3	5	4
1393	4	21	2	1	1	1	PK	5	1	4	3	4	2	2	1	5	3	2	4	4	3	2	2	2	2	3	3	4	3	4	5	2	4	2	4	4	4	4	3	2	2	3	2	2	3	3	4	3	2	4	2	4	1	5	2	4	4
1394	3	35	1	2	2	1	US	3	1	3	3	4	1	2	4	2	5	4	3	4	4	4	4	4	4	4	3	1	4	4	5	4	5	4	4	3	3	2	5	2	3	1	3	4	4	2	2	5	2	5	3	3	1	5	4	2	2
1395	3	18	1	1	1	1	CA	3	3	3	3	3	3	2	4	4	4	5	2	4	2	3	3	4	3	2	3	1	4	1	4	1	5	1	5	5	4	4	4	5	2	3	2	5	1	4	3	4	2	5	2	3	1	4	3	5	5
1396	3	20	1	2	1	1	US	2	4	3	4	3	3	3	2	3	5	4	3	5	3	3	4	4	3	3	4	1	4	2	4	3	4	3	3	4	2	2	4	3	3	1	4	3	3	4	3	1	4	5	3	3	2	2	1	5	4
1397	1	25	2	2	1	5	BZ	1	4	3	3	5	3	3	1	3	5	5	2	5	4	4	4	5	3	3	4	1	3	1	4	3	5	3	3	5	3	2	1	4	1	5	1	5	1	4	4	3	2	4	2	3	4	4	1	5	3
1398	11	24	2	1	1	1	PH	4	2	2	5	3	1	3	5	5	5	5	5	1	3	5	3	4	3	3	1	3	2	1	5	5	5	5	2	5	5	1	5	4	5	1	5	4	4	1	4	5	2	5	1	5	1	5	5	5	5
1399	3	18	1	2	1	1	CA	4	1	5	1	5	1	5	1	5	1	2	5	2	3	3	3	2	1	1	2	5	5	1	5	1	5	1	5	5	5	5	1	4	2	5	2	3	1	4	5	5	1	5	1	5	1	5	5	4	5
1400	3	18	1	1	1	1	US	1	3	1	5	1	3	1	3	4	5	4	4	5	1	5	3	1	1	5	4	2	3	4	4	2	4	4	4	4	2	1	4	5	5	1	4	5	2	3	4	5	2	5	4	5	1	5	5	4	5
1401	1	22	2	2	1	5	BZ	1	1	5	5	5	1	1	1	3	4	3	3	3	1	3	1	3	3	1	1	1	5	1	5	1	5	1	5	5	1	5	1	5	1	5	1	5	5	5	4	5	3	5	3	5	1	4	1	5	4
1402	3	43	1	2	1	1	AU	3	2	4	4	4	2	2	3	4	2	4	4	3	3	3	3	4	4	4	3	3	4	2	4	2	4	2	4	4	4	4	4	3	2	2	4	3	2	3	2	4	2	4	2	4	4	4	3	4	4
1403	3	41	1	1	1	1	US	4	1	5	1	5	2	5	1	5	1	4	2	4	2	3	1	2	1	3	2	2	5	4	3	4	2	4	5	4	5	3	4	4	1	3	3	5	2	4	3	5	2	2	3	5	3	5	4	3	5
1404	3	17	1	1	1	1	US	2	4	3	2	4	2	2	5	2	3	2	3	5	2	2	1	2	1	2	4	1	4	1	5	1	3	2	5	4	5	5	3	4	1	4	3	5	1	3	5	5	1	5	1	5	1	5	4	5	5
1405	13	1988	1	2	1	5	BZ	1	3	2	3	4	4	1	3	1	3	2	2	3	3	3	3	2	3	3	3	3	3	1	3	4	3	2	3	4	3	3	2	3	3	4	4	3	3	3	3	2	3	3	3	4	3	3	1	3	2
1406	3	17	1	2	2	1	US	3	2	5	3	3	1	3	3	2	5	5	3	5	1	4	5	4	3	5	5	1	5	3	5	1	5	1	4	5	4	3	5	4	5	1	4	5	3	3	5	5	1	5	1	5	1	4	5	5	5
1407	13	49	1	2	1	1	US	5	1	5	1	5	1	5	4	4	1	1	3	4	5	1	1	1	1	1	1	2	5	1	4	2	4	1	4	4	5	5	1	5	1	5	1	4	1	5	5	4	1	5	1	5	1	5	3	2	5
1408	3	17	1	2	1	5	US	2	3	4	3	2	4	3	4	2	5	4	4	2	4	1	2	2	1	4	2	3	4	3	4	2	4	2	4	4	3	3	4	2	3	3	4	4	2	4	3	2	3	3	1	2	2	2	1	3	3
1409	3	21	1	2	1	1	US	4	2	5	1	5	1	5	3	2	3	3	5	3	5	2	2	3	2	3	1	2	5	1	5	2	5	1	4	4	3	4	3	4	3	4	1	4	1	4	3	3	3	5	3	5	1	4	3	5	5
1410	3	49	1	2	1	2	US	4	1	4	1	5	1	4	2	5	1	3	4	3	2	2	1	1	1	1	3	1	5	2	4	1	3	1	4	2	4	2	1	3	2	2	1	2	1	2	3	5	4	1	2	3	3	3	4	4	3
1411	6	43	1	1	1	1	US	2	3	4	3	3	3	3	2	4	4	4	3	3	3	3	4	3	3	4	3	2	3	3	3	3	4	3	3	4	2	3	3	3	3	2	4	3	3	3	3	3	4	3	2	3	3	3	2	4	3
1412	3	30	1	2	2	1	US	1	3	4	5	3	5	3	5	1	5	4	3	5	5	4	5	4	5	5	5	2	3	1	4	4	4	3	3	3	3	4	1	5	3	4	1	5	1	3	5	5	4	3	5	3	5	4	3	4	3
1413	13	25	1	2	1	2	US	1	1	4	4	5	1	1	5	5	5	3	2	4	3	3	2	1	1	2	2	1	4	2	5	2	5	1	5	5	5	2	4	3	3	1	3	3	3	3	3	3	3	5	1	4	1	3	3	5	5
1414	3	15	1	2	1	1	US	3	2	4	2	5	2	4	3	4	3	5	2	5	1	4	2	3	2	4	5	1	4	2	5	1	3	1	4	4	4	4	4	5	3	4	2	4	1	4	5	4	2	4	2	4	1	4	4	5	4
1415	3	14	1	2	1	1	US	4	1	5	1	5	2	5	1	5	1	2	4	2	4	2	2	1	1	1	1	2	3	2	5	1	4	1	4	3	4	4	2	4	2	3	3	3	2	3	3	3	1	3	3	3	2	4	3	2	3
1416	3	25	1	1	2	1	US	1	5	1	5	1	4	1	5	1	5	2	3	4	1	4	2	3	3	2	5	2	4	1	4	2	4	2	4	4	4	3	3	4	2	1	3	4	3	2	3	3	1	4	1	5	2	4	2	5	4
1417	4	26	2	2	1	1	US	5	1	5	1	5	1	5	1	5	1	1	5	3	3	2	1	5	3	3	2	3	5	2	5	2	5	4	5	5	5	5	4	4	4	3	4	3	1	2	5	3	1	5	1	5	1	5	3	3	5
1418	13	23	2	2	1	5	PH	4	4	3	2	4	3	4	3	1	4	4	3	4	3	2	3	4	3	2	4	4	3	4	2	3	3	3	4	3	3	4	3	3	3	4	3	4	3	3	3	3	2	2	3	3	2	3	3	4	3
1419	3	17	1	1	1	1	US	2	3	3	3	4	2	2	3	3	4	2	4	2	2	1	2	2	2	2	4	4	4	3	2	4	2	3	3	3	5	3	2	5	2	2	2	2	4	2	4	5	1	5	2	5	1	5	5	5	5
1420	3	20	1	1	1	1	US	3	2	4	4	4	3	4	4	2	4	1	5	3	3	2	2	2	1	3	3	2	4	4	4	2	3	3	4	4	4	4	3	4	2	3	2	4	1	5	5	4	1	4	1	4	2	5	4	5	4
1421	3	23	1	2	2	2	US	1	4	2	5	2	2	1	5	1	5	4	1	4	3	4	4	5	4	4	4	1	3	1	5	1	5	1	4	5	5	4	4	4	2	2	3	4	2	4	4	1	2	3	4	3	3	4	1	4	3
1422	3	16	1	2	1	1	US	1	2	4	5	3	3	4	5	1	5	5	2	5	1	2	2	3	1	1	5	2	3	1	4	4	3	2	3	4	3	2	2	4	3	3	1	5	1	5	5	3	2	5	1	3	1	4	3	5	5
1423	3	17	1	2	1	2	US	1	3	1	3	3	1	2	4	3	5	5	2	5	1	5	5	5	5	5	2	1	4	1	5	1	5	1	4	5	4	2	3	5	4	1	5	5	2	4	3	4	5	5	2	4	1	3	2	5	3
1424	3	21	1	2	1	1	US	3	4	4	2	4	3	2	2	2	4	4	4	2	2	4	4	4	4	5	3	1	4	1	5	1	4	2	4	4	3	4	2	5	2	2	2	4	2	2	2	2	2	2	2	3	4	4	2	3	3
1425	13	59	1	2	1	1	US	1	3	2	3	2	2	1	4	2	5	3	3	4	3	2	2	2	1	2	2	4	2	3	4	3	4	2	2	4	2	4	4	4	2	3	3	3	1	4	5	2	1	4	1	4	2	5	1	5	4
1426	3	24	1	2	1	1	NZ	4	3	4	2	3	2	2	3	3	3	1	4	4	3	2	3	2	1	2	2	1	5	3	5	2	4	1	4	4	3	4	4	5	1	4	3	3	1	4	3	5	1	5	2	4	1	4	3	5	4
1427	3	18	1	2	1	1	GB	3	4	3	4	3	2	2	5	3	5	4	3	4	3	4	4	4	3	4	2	3	4	4	4	3	3	4	4	2	3	4	3	5	4	2	4	4	4	4	4	4	2	4	3	4	2	4	4	4	5
1428	11	22	1	2	1	2	US	3	2	5	2	5	2	3	1	3	1	2	4	3	1	2	2	1	1	2	1	2	4	1	4	5	5	4	5	4	5	4	1	5	1	5	1	4	1	5	4	2	2	5	2	4	1	4	2	4	4
1429	3	56	1	2	1	1	US	4	1	5	2	5	2	5	2	5	2	4	3	4	1	2	3	3	2	3	3	1	4	3	5	5	5	1	3	5	5	4	3	4	1	3	2	4	2	5	4	5	2	5	1	4	5	5	2	5	5
1430	11	16	1	2	1	1	US	3	3	4	3	1	4	4	4	4	4	1	4	5	2	1	2	4	4	2	3	2	5	3	5	4	4	5	4	4	4	4	5	5	4	1	4	4	5	3	2	4	1	3	3	4	4	5	4	5	2
1431	3	35	1	2	2	1	CA	4	2	4	2	5	2	5	3	4	2	5	2	5	2	4	4	2	2	4	3	1	4	1	5	2	4	2	5	5	5	4	1	4	4	5	1	5	1	5	4	4	1	5	2	4	2	5	4	5	5
1432	3	25	1	2	1	5	US	2	2	5	2	5	1	5	3	2	1	3	4	4	2	2	1	2	2	2	1	1	4	1	5	2	3	2	4	4	4	5	4	5	2	3	5	4	1	4	5	5	1	4	2	4	1	5	3	4	5
1433	3	35	1	2	1	1	CA	1	1	1	2	5	1	1	4	5	5	5	1	5	1	1	5	1	5	5	5	2	5	3	5	1	5	1	5	5	5	1	5	5	2	1	5	3	5	1	5	5	1	5	1	3	1	5	3	5	5
1434	3	28	2	2	1	1	AU	1	5	1	5	5	5	1	5	3	5	5	1	5	1	5	5	5	5	5	5	5	5	5	5	1	5	1	5	1	3	1	1	5	5	1	1	1	5	5	1	3	1	5	1	5	1	2	5	5	4
1435	13	40	1	1	2	2	US	1	2	2	4	2	4	1	2	2	5	5	2	5	2	5	4	4	4	5	4	2	2	4	2	4	3	4	2	2	2	5	1	5	1	5	1	5	1	5	5	5	1	5	2	5	1	5	5	5	5
1436	3	59	1	2	2	1	US	4	3	3	3	4	3	3	5	1	5	5	3	5	1	5	5	5	5	5	5	1	5	1	5	1	5	1	5	5	5	5	1	5	1	3	1	5	1	4	5	3	5	5	5	5	1	3	3	5	5
1437	11	26	2	2	1	1	MY	4	3	5	2	4	2	4	1	5	5	4	2	5	4	5	4	4	3	4	3	1	5	2	5	1	5	4	5	5	5	3	5	2	5	1	5	1	3	1	2	5	1	4	1	4	2	5	4	5	4
1438	3	17	1	1	1	1	US	4	2	4	2	4	1	5	2	4	3	3	2	5	1	4	3	3	2	3	3	2	5	3	5	2	5	1	4	5	2	2	3	3	4	3	2	4	5	2	4	4	2	4	1	3	2	5	4	5	4
1439	3	17	1	2	1	1	US	4	1	5	1	5	1	5	1	5	1	1	5	1	1	1	1	2	1	1	1	1	3	1	5	1	5	1	5	5	5	4	1	5	1	5	1	5	1	5	5	3	1	4	1	3	1	5	4	3	5
1440	3	40	1	2	1	3	AU	3	2	4	3	4	2	4	2	4	3	2	4	3	3	2	3	4	4	3	3	1	5	2	4	2	5	2	4	4	4	3	2	3	2	3	1	3	1	2	3	4	1	5	1	4	1	4	4	3	5
1441	8	48	1	2	1	1	US	3	3	3	2	5	4	5	4	2	4	1	4	4	3	3	2	3	2	2	1	3	4	1	4	3	3	3	4	4	4	3	1	1	1	3	1	5	2	5	3	3	3	3	3	2	3	3	3	2	3
1442	3	21	1	1	1	1	AU	1	5	1	5	1	5	1	5	1	5	2	4	5	1	5	5	5	4	5	5	1	1	5	5	5	5	5	3	3	3	2	1	4	4	1	4	4	5	3	2	2	2	5	1	5	1	4	2	5	5
1443	3	33	2	1	1	1	NZ	2	3	3	4	4	3	3	4	2	3	4	2	4	2	2	4	4	3	3	3	3	3	1	3	3	4	3	4	3	4	4	2	4	2	3	2	4	2	4	4	3	3	2	4	3	3	4	3	4	3
1444	1	25	2	2	1	5	BZ	2	2	3	2	5	1	3	1	4	5	2	4	1	5	5	3	5	5	5	3	1	3	2	3	1	3	1	5	5	2	3	3	1	2	4	1	1	4	5	1	3	2	1	2	3	1	3	1	5	4
1445	4	41	1	2	1	1	US	2	4	5	3	3	4	3	5	2	4	2	5	2	4	3	1	2	1	1	1	5	4	1	5	3	5	2	5	5	4	3	2	4	4	3	3	3	2	5	3	1	5	5	5	3	4	4	1	2	2
1446	3	56	1	1	1	5	AU	4	2	5	1	5	1	5	1	5	1	1	5	1	5	1	1	1	1	1	1	1	5	1	5	1	4	1	5	5	5	5	1	5	1	5	1	5	1	5	5	5	1	5	2	5	1	5	1	2	5
1447	3	46	1	2	1	2	US	3	2	3	2	4	2	4	2	4	3	3	2	4	3	4	2	2	2	3	2	2	4	2	4	2	4	2	4	4	3	4	3	3	2	4	2	4	1	5	3	4	2	4	3	4	2	5	5	4	4
1448	3	40	2	2	1	1	GB	2	4	4	3	4	4	4	4	2	4	3	3	3	2	3	3	3	3	3	3	1	5	1	4	2	5	1	4	4	4	2	2	4	2	2	2	1	1	1	4	5	2	5	1	4	1	4	4	4	5
1449	3	21	1	1	1	1	AU	1	4	3	4	2	3	2	5	2	5	3	5	5	3	3	2	1	1	3	2	1	4	2	4	2	5	3	4	4	3	3	3	3	3	3	4	4	3	2	3	3	2	5	1	3	2	3	3	5	5
1450	3	21	1	1	1	1	US	4	1	4	2	3	2	5	2	5	4	1	5	2	2	2	4	3	2	4	1	4	3	5	2	5	2	3	2	2	4	2	4	2	4	2	5	2	2	2	3	3	3	5	4	5	1	4	3	2	4
1451	11	18	2	1	1	1	PH	1	3	3	5	1	1	1	1	3	5	1	2	4	3	5	5	3	3	5	3	3	5	3	5	2	5	3	5	3	4	1	2	4	3	1	5	5	3	2	4	4	2	5	1	4	1	5	3	5	5
1452	1	21	1	2	1	1	US	3	2	3	3	3	2	3	4	3	5	4	3	5	3	2	3	2	2	2	2	1	3	1	5	2	5	2	4	5	3	4	2	5	2	4	2	4	2	5	5	3	2	3	3	3	3	4	3	5	3
1453	3	29	2	1	1	1	US	3	2	4	3	4	2	4	2	4	2	4	3	5	2	3	3	3	3	4	4	2	4	2	4	2	3	2	3	5	4	3	4	4	4	2	4	4	4	2	4	4	1	4	1	4	2	4	3	4	4
1454	4	53	1	2	1	5	US	1	3	3	2	4	2	5	4	3	3	5	3	5	3	5	5	3	2	4	2	1	1	1	5	4	4	5	3	4	3	5	5	3	2	3	2	4	2	2	3	5	1	3	3	4	3	4	2	3	4
1455	3	40	1	1	1	1	US	2	4	2	4	2	3	1	5	2	4	4	2	5	2	2	2	2	1	4	3	2	2	3	3	5	1	4	2	3	5	5	4	5	1	3	4	5	1	5	5	5	1	5	1	5	1	5	5	5	5
1456	3	21	1	2	1	1	US	3	2	5	3	4	3	5	4	2	2	4	3	5	4	2	2	2	2	3	2	1	5	1	5	1	5	2	5	5	4	4	3	4	2	3	3	4	2	3	3	3	3	3	3	3	3	4	3	4	3
1457	3	46	1	2	1	1	US	3	4	2	3	4	2	2	3	3	4	3	3	4	4	2	2	3	2	2	2	4	2	3	2	4	3	4	2	4	3	2	3	4	3	3	2	4	3	2	3	5	2	5	2	5	1	3	2	4	5
1458	3	17	1	2	1	1	US	1	3	1	4	1	2	1	3	2	5	5	1	5	1	5	4	5	5	3	5	2	4	1	5	2	5	2	3	5	3	1	5	4	5	2	5	4	4	2	3	5	2	5	1	5	1	5	5	5	5
1459	3	35	1	1	1	1	CA	1	3	2	4	4	2	1	4	3	4	5	3	4	1	3	2	2	2	4	4	2	4	2	4	2	4	2	4	4	4	2	5	3	4	1	5	5	2	4	4	5	1	5	1	4	1	5	4	4	4
1460	13	24	2	2	1	1	IN	2	2	2	4	4	4	2	2	2	5	3	3	3	3	3	3	3	2	4	4	5	5	1	4	3	3	4	3	5	4	2	1	5	1	2	2	2	3	3	4	2	4	5	4	4	1	4	2	4	4
1461	11	16	2	2	1	1	CA	2	4	2	4	2	3	2	4	3	4	2	4	3	2	1	3	3	3	3	4	2	3	2	4	2	4	2	4	3	1	4	3	3	3	3	2	4	2	4	5	3	1	4	1	5	1	5	3	5	5
1462	11	18	2	1	1	1	PH	2	4	5	4	3	4	3	5	2	5	4	4	3	4	4	2	2	1	2	4	1	5	1	5	1	5	2	4	5	5	3	5	4	1	4	3	5	2	5	4	4	4	2	2	4	4	5	1	5	5
1463	3	22	1	2	1	2	US	3	2	5	1	5	1	4	2	5	1	2	3	2	3	2	2	3	2	2	2	2	5	4	4	1	4	2	4	3	5	4	2	4	2	4	2	4	1	4	5	4	1	4	2	5	2	4	2	4	4
1464	3	21	1	2	1	1	US	4	3	3	1	3	5	2	2	5	2	1	2	2	1	2	1	5	2	1	4	1	4	1	5	1	5	1	4	3	3	4	5	1	4	3	5	2	1	4	1	2	1	3	3	4	3	4	1	5	3
1465	3	17	1	1	3	1	US	5	3	5	3	3	1	5	1	5	3	1	5	5	1	1	2	1	1	4	5	3	5	5	4	1	5	2	5	5	4	4	4	5	3	2	2	2	2	4	5	5	1	5	1	4	1	4	3	5	5
1466	8	16	1	2	1	5	US	3	3	4	3	4	2	5	3	4	4	3	3	4	2	2	4	5	4	4	3	1	4	2	4	2	4	2	4	4	4	4	3	5	3	2	3	4	2	4	3	3	2	5	2	5	1	5	3	4	5
1467	3	20	1	2	1	1	US	5	1	5	1	5	1	5	1	5	1	3	5	4	4	2	2	4	2	3	1	1	5	4	5	2	3	1	4	4	5	3	5	3	4	2	4	3	3	3	3	2	4	4	3	4	2	4	3	2	4
1468	13	15	1	2	2	1	AU	1	3	3	5	3	4	2	5	1	5	5	1	5	1	5	5	5	5	5	5	2	3	3	4	1	3	1	3	3	3	4	5	3	5	2	4	1	4	2	3	3	3	2	1	3	3	3	3	2	3
1469	3	25	1	1	2	1	US	5	1	5	3	4	1	5	2	5	2	1	5	1	5	1	1	1	1	1	1	2	5	1	4	3	5	1	5	1	5	3	5	4	1	4	3	4	1	5	5	4	1	5	1	3	1	5	4	5	3
1470	3	33	1	2	1	2	US	3	2	3	2	2	2	3	2	4	4	3	4	4	2	3	2	3	3	3	3	4	4	2	4	2	4	2	4	4	5	2	4	2	3	1	4	4	4	1	3	3	1	4	1	5	1	4	3	4	4
1471	11	16	2	2	1	1	PH	2	3	4	2	5	1	3	4	1	5	3	4	3	2	2	3	2	2	3	2	4	4	1	5	2	5	1	4	5	4	3	2	5	4	3	4	5	3	4	4	5	1	5	5	4	1	4	3	5	4
1472	3	35	1	2	2	1	US	1	5	2	5	3	3	1	5	2	5	5	2	4	2	2	3	4	4	4	4	1	5	2	5	2	5	1	4	5	2	3	5	3	5	1	3	4	4	3	2	4	4	4	1	3	1	4	3	5	5
1473	3	22	1	1	1	1	US	5	1	5	1	5	1	5	2	4	4	4	5	5	2	1	3	2	2	5	4	3	5	5	4	2	5	1	4	5	5	2	5	5	3	1	5	3	4	5	5	5	1	5	1	4	1	4	5	5	5
1474	13	19	2	2	1	5	ID	1	5	5	1	5	5	5	5	5	5	1	5	1	1	1	1	1	1	1	1	1	1	1	5	1	5	1	5	5	5	5	1	5	1	5	1	5	1	5	1	1	5	5	5	5	1	1	1	5	5
1475	13	15	2	1	3	1	IN	1	3	4	3	3	4	1	4	4	1	5	5	5	3	5	5	5	4	5	3	1	3	1	4	1	5	2	3	4	4	5	3	2	3	3	4	4	2	4	4	1	5	5	1	5	1	4	4	3	5
1476	13	16	2	2	1	1	IN	5	2	5	3	4	1	5	3	3	4	3	2	5	3	4	5	4	2	4	3	1	3	2	5	2	5	1	5	5	4	3	4	5	2	2	1	3	1	2	4	4	3	4	2	5	1	4	4	4	4
1477	3	58	1	2	1	1	US	1	1	5	2	4	1	2	3	5	5	4	4	3	5	4	1	2	1	1	1	1	5	1	5	1	5	2	5	5	4	4	4	5	1	5	2	5	1	3	5	4	2	3	3	1	2	5	5	4	5
1478	1	20	1	2	1	5	BZ	2	2	4	3	4	2	3	3	2	3	1	5	1	3	3	2	1	1	3	3	4	3	3	3	2	3	2	3	3	3	4	1	3	2	5	3	4	1	2	3	2	3	4	3	5	2	5	3	4	5
1479	13	18	2	2	1	5	ID	5	5	5	1	5	5	5	1	5	5	5	5	5	1	1	1	5	1	5	5	5	5	1	5	5	5	1	5	5	5	5	5	5	5	5	1	5	1	5	5	1	1	5	1	1	1	5	1	5	5
1480	11	35	2	2	1	1	IN	1	3	4	5	1	5	1	4	5	5	4	1	5	1	5	5	4	4	2	5	4	3	1	5	4	5	3	4	4	4	4	1	1	1	1	1	5	4	4	4	3	2	4	3	3	1	4	1	4	5
1481	1	21	1	1	2	1	US	1	5	3	5	1	5	1	1	1	5	5	3	3	5	3	5	2	1	4	1	3	2	1	2	5	2	5	1	1	3	2	1	5	1	1	5	5	5	5	3	5	2	3	1	2	4	5	5	3	3
1482	13	20	2	2	1	1	IN	1	1	5	4	5	1	5	5	1	1	3	5	5	5	4	5	5	5	5	1	1	4	3	5	5	5	1	5	5	5	5	4	3	4	3	4	3	3	3	3	3	5	4	1	5	1	5	1	5	5
1483	3	34	1	1	2	1	US	3	4	3	4	4	4	2	5	3	4	5	3	5	2	3	3	4	2	4	3	4	2	4	1	4	2	4	2	2	5	2	5	2	3	1	4	4	5	2	3	4	2	5	2	4	1	5	4	4	4
1484	3	21	1	1	2	1	US	2	3	5	1	5	2	5	2	5	1	3	5	4	2	3	3	3	1	2	1	2	4	3	5	3	4	2	4	5	4	5	2	5	2	3	3	5	2	4	5	4	1	5	2	5	1	5	5	5	5
1485	4	32	2	2	1	1	LK	5	1	5	1	5	1	5	5	5	4	1	5	3	2	1	3	5	4	2	4	1	5	1	5	1	5	1	5	5	5	4	1	5	1	5	1	4	1	5	5	5	1	5	1	5	1	5	1	2	5
1486	13	19	2	1	1	5	ID	3	2	4	3	4	5	4	4	3	4	2	4	4	3	4	3	3	2	2	3	4	4	2	4	4	4	4	3	4	4	4	3	3	3	2	2	3	4	4	3	3	4	2	3	4	4	4	2	4	3
1487	3	19	2	2	1	3	FR	3	2	3	3	4	1	4	4	3	4	4	3	5	1	3	4	5	4	4	4	1	5	2	5	1	4	1	4	4	3	4	2	4	2	3	3	5	3	5	4	5	1	4	1	4	2	4	5	5	5
1488	6	15	1	2	1	1	US	3	2	1	4	2	3	1	1	1	5	4	2	5	4	4	4	2	4	4	5	1	3	1	4	2	5	3	5	5	4	3	3	5	3	2	4	4	3	2	3	3	1	4	2	4	2	3	3	5	4
1489	11	19	2	1	1	5	ID	4	5	4	5	5	2	3	5	1	1	4	5	5	3	5	1	5	5	2	3	5	5	1	5	3	5	1	3	5	3	4	1	4	2	2	2	4	1	5	5	3	4	5	2	4	1	4	5	5	4
1490	1	17	2	1	1	1	MX	1	5	2	2	1	4	1	2	4	1	5	1	5	3	5	5	2	2	5	3	3	4	4	3	5	1	2	2	2	1	2	1	3	4	1	5	3	3	1	1	5	1	5	2	5	1	5	5	5	5
1491	11	19	2	1	1	5	US	3	3	4	3	4	3	4	4	3	2	2	3	3	3	2	3	3	2	2	3	1	3	1	4	1	4	1	4	3	4	4	1	3	1	3	1	3	2	3	2	3	3	4	3	4	4	3	2	2	3
1492	11	20	2	2	1	5	CN	1	2	5	3	4	1	1	5	4	4	2	5	2	4	2	2	2	1	1	1	1	3	1	5	3	5	3	4	2	5	2	3	2	2	1	5	2	1	2	4	3	5	1	5	3	5	3	5	2	3
1493	12	24	1	1	1	1	US	1	5	5	5	1	5	1	5	1	5	4	1	5	1	2	2	1	1	1	5	1	5	1	5	1	5	1	4	5	4	1	5	1	5	1	3	1	1	1	3	3	1	5	1	5	1	1	1	5	5
1494	11	19	1	2	1	5	MY	2	3	3	2	4	3	2	2	3	4	3	2	3	4	4	3	3	1	2	1	2	2	1	5	5	3	3	3	4	4	3	3	4	1	4	4	2	1	3	5	3	3	3	3	2	3	3	2	3	3
1495	12	28	2	1	1	1	GH	3	3	3	3	3	3	3	3	3	3	2	2	4	4	2	3	3	3	3	2	1	4	1	4	1	4	1	5	5	5	4	2	5	2	5	1	5	2	5	4	3	2	5	5	4	1	5	1	4	4
1496	13	17	1	2	1	1	US	2	5	2	4	3	4	2	5	2	5	3	3	3	3	3	2	3	2	4	3	3	4	3	3	3	4	2	4	2	3	4	5	5	3	4	2	3	2	3	3	4	3	5	4	5	1	2	3	4	5
1497	11	22	2	1	1	1	PH	2	4	5	2	5	1	1	4	5	5	1	2	5	5	5	1	1	1	1	1	1	4	1	5	1	5	4	2	5	5	3	2	5	1	4	1	5	1	5	5	2	3	5	5	5	1	5	1	5	5
1498	4	32	2	2	1	1	AE	3	4	4	2	4	2	4	2	3	2	3	3	3	3	2	3	2	3	2	3	2	4	2	4	2	3	2	3	4	4	2	2	3	2	4	1	3	3	3	3	2	3	3	4	4	2	3	2	3	3
1499	11	1990	2	2	1	1	PH	3	2	3	3	2	3	2	2	3	5	3	3	4	2	5	3	2	2	4	2	5	3	4	5	3	4	2	2	4	4	3	3	4	2	2	3	3	2	3	3	2	3	5	3	4	2	3	1	3	4
1500	11	19	2	1	1	5	ID	4	4	4	3	4	4	4	3	4	3	3	4	3	3	3	3	4	4	4	3	3	4	3	4	3	3	3	3	3	4	4	3	4	4	3	4	3	4	4	3	3	4	3	3	4	4	4	3	3	3
1501	11	16	2	1	1	1	PH	3	4	3	3	4	4	3	5	3	5	4	3	4	3	5	2	3	1	3	4	2	4	3	2	4	3	3	3	4	2	3	3	4	2	2	3	3	2	5	3	3	2	3	2	3	2	2	3	2	3
1502	3	22	2	2	2	3	DK	4	2	4	2	4	2	4	2	4	3	3	4	4	4	4	3	2	2	3	2	1	5	2	5	1	5	1	4	5	4	4	4	4	3	3	2	4	3	4	4	4	3	4	2	4	2	4	3	5	4
1503	3	19	1	2	1	2	AU	5	2	4	2	5	2	5	2	4	2	2	4	3	2	2	2	4	2	3	2	1	4	1	5	1	5	1	4	4	3	3	4	4	2	2	3	3	2	3	4	4	2	3	2	4	2	4	2	5	5
1504	3	38	1	2	1	1	GB	4	2	4	3	3	2	3	3	4	3	2	4	3	5	2	2	2	2	3	1	2	3	1	4	3	4	3	4	3	4	3	4	4	2	1	4	2	2	2	4	5	3	3	4	4	3	5	5	3	3
1505	11	32	2	2	1	2	PH	3	4	3	3	3	4	2	4	2	5	3	3	3	2	2	3	3	3	4	4	4	3	1	3	3	5	2	3	4	3	3	2	4	2	3	3	4	2	3	4	3	2	3	2	3	2	4	2	4	4
1506	3	15	1	2	1	1	GB	1	4	2	4	3	4	1	4	2	5	5	1	5	1	4	5	5	3	2	5	1	3	3	5	1	4	4	5	4	4	2	4	4	4	2	4	4	3	3	3	3	3	4	3	2	2	3	2	4	4
